1 , Program, Block, ProcedureDeclaration, VarDeclaration, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
2 , BlockOwner, Block, ProcedureDeclaration, VarDeclaration, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-variables-VarDeclaration, Path: ProcedureDeclaration-block-Block: Block-variables-VarDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
3 , Program, Block, ProcedureDeclaration, ConstDeclaration, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
4 , BlockOwner, Block, ProcedureDeclaration, ConstDeclaration, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-constants-ConstDeclaration, Path: ProcedureDeclaration-block-Block: Block-constants-ConstDeclaration, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
5 , Program, Block, ProcedureDeclaration, Body, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
6 , BlockOwner, Block, ProcedureDeclaration, Body, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body, Path: ProcedureDeclaration-block-Block: Block-body-Body, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
7 , Program, Block, ProcedureDeclaration, Statement, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
8 , BlockOwner, Block, ProcedureDeclaration, Statement, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Statement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Statement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
9 , Program, Block, ProcedureDeclaration, CallStatement, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
10 , BlockOwner, Block, ProcedureDeclaration, CallStatement, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-CallStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
11 , Program, Block, ProcedureDeclaration, IfStatement, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
12 , BlockOwner, Block, ProcedureDeclaration, IfStatement, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
13 , Program, Block, ProcedureDeclaration, Condition, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-Condition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-Condition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
14 , BlockOwner, Block, ProcedureDeclaration, Condition, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-Condition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-Condition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
15 , Program, Block, ProcedureDeclaration, WhileStatement, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-WhileStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-WhileStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
16 , BlockOwner, Block, ProcedureDeclaration, WhileStatement, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-WhileStatement, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-WhileStatement, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
17 , Program, Block, ProcedureDeclaration, Assignment, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
18 , BlockOwner, Block, ProcedureDeclaration, Assignment, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
19 , Program, Block, ProcedureDeclaration, Expression, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-Expression, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-Expression, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
20 , BlockOwner, Block, ProcedureDeclaration, Expression, CallStatement, Path: BlockOwner-block-Block, Path: BlockOwner-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-Assignment: Assignment-right-Expression, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-Assignment: Assignment-right-Expression, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
21 , Program, Block, ProcedureDeclaration, OddCondition, CallStatement, Path: Program-block-Block, Path: Program-block-Block: Block-procedures-ProcedureDeclaration, Path: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-OddCondition, Path: ProcedureDeclaration-block-Block: Block-body-Body: Body-statements-IfStatement: IfStatement-condition-OddCondition, Path: CallStatement-procedure-ProcedureDeclaration, Path: Block-body-Body: Body-statements-CallStatement
